name,price,rating,description,image,age,review,category
Cotton T-Shirt,15.0,4.5,"Classic crew neck, 100% cotton, comfortable and breathable.",https://images.unsplash.com/photo-1484516396415-4971641de8e0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxDb3R0b24lMjBULVNoaXJ0fGVufDB8fHx8MTczNzc4NTA0NXww&ixlib=rb-4.0.3&q=85,19,Fabric feels cheap and uncomfortable.,Clothing
Denim Jeans,70.0,4.2,"Regular fit, classic blue denim, durable and stylish.",https://images.unsplash.com/photo-1560243563-062bfc001d68?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEZW5pbSUyMEplYW5zfGVufDB8fHx8MTczNzc4NTA0Nnww&ixlib=rb-4.0.3&q=85,26,Amazing value for money!,Clothing
Wool Sweater,50.0,4.0,"Soft and warm wool sweater, perfect for colder weather.",https://images.unsplash.com/photo-1601379327928-bedfaf9da2d0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxXb29sJTIwU3dlYXRlcnxlbnwwfHx8fDE3Mzc3ODUwNDZ8MA&ixlib=rb-4.0.3&q=85,43,"Stylish and practical, I love it!",Clothing
Flannel Shirt,35.0,4.3,"Classic plaid flannel, soft and comfortable.",https://images.unsplash.com/photo-1601935033900-059813f9abfc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxGbGFubmVsJTIwU2hpcnR8ZW58MHx8fHwxNzM3Nzg1MDQ2fDA&ixlib=rb-4.0.3&q=85,25,Fits perfectly and looks great.,Clothing
Lightweight Jacket,40.0,4.1,"Water-resistant, perfect for layering.",https://images.unsplash.com/photo-1542327897-d73f4005b533?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxMaWdodHdlaWdodCUyMEphY2tldHxlbnwwfHx8fDE3Mzc3ODUwNDd8MA&ixlib=rb-4.0.3&q=85,19,Amazing value for money!,Clothing
Hoodie,30.0,4.4,Comfortable and warm hoodie with a kangaroo pocket.,https://images.unsplash.com/photo-1556821840-3a63f95609a7?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxIb29kaWV8ZW58MHx8fHwxNzM3Nzg1MDQ3fDA&ixlib=rb-4.0.3&q=85,34,Fabric feels cheap and uncomfortable.,Clothing
Sneakers,60.0,4.6,"Comfortable and stylish sneakers, perfect for everyday wear.",https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTbmVha2Vyc3xlbnwwfHx8fDE3Mzc3ODUwNDh8MA&ixlib=rb-4.0.3&q=85,40,The color faded after the first wash.,Clothing
Dress Pants,65.0,4.0,"Classic dress pants, perfect for formal occasions.",https://images.unsplash.com/photo-1611937685025-8d1df67a80b6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEcmVzcyUyMFBhbnRzfGVufDB8fHx8MTczNzc4NTA0OHww&ixlib=rb-4.0.3&q=85,45,Amazing value for money!,Clothing
Button-Down Shirt,30.0,4.2,"Classic button-down shirt, made from breathable cotton.",https://images.unsplash.com/photo-1464569039280-183cbe6ea28a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCdXR0b24tRG93biUyMFNoaXJ0fGVufDB8fHx8MTczNzc4NTA1MHww&ixlib=rb-4.0.3&q=85,44,Fabric feels cheap and uncomfortable.,Clothing
Coat,100.0,3.9,"Warm and stylish coat, perfect for winter.",https://images.unsplash.com/photo-1539533113208-f6df8cc8b543?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxDb2F0fGVufDB8fHx8MTczNzc4NTA1MHww&ixlib=rb-4.0.3&q=85,29,"Doesn’t fit as expected, very disappointing.",Clothing
Summer Dress,45.0,4.5,"Lightweight and breathable summer dress, perfect for warm weather.",https://images.unsplash.com/photo-1496747611176-843222e1e57c?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTdW1tZXIlMjBEcmVzc3xlbnwwfHx8fDE3Mzc3ODUwNTF8MA&ixlib=rb-4.0.3&q=85,44,"Stylish and practical, I love it!",Clothing
Leggings,25.0,4.3,"Comfortable and versatile leggings, perfect for everyday wear.",https://images.unsplash.com/photo-1606902965551-dce093cda6e7?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxMZWdnaW5nc3xlbnwwfHx8fDE3Mzc3ODUwNTF8MA&ixlib=rb-4.0.3&q=85,37,The color faded after the first wash.,Clothing
Sports Bra,20.0,4.4,"Supportive sports bra, perfect for workouts.",https://images.unsplash.com/photo-1606902965551-dce093cda6e7?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTcG9ydHMlMjBCcmF8ZW58MHx8fHwxNzM3Nzg1MDUyfDA&ixlib=rb-4.0.3&q=85,36,"Stylish and practical, I love it!",Clothing
Socks,10.0,4.1,"Comfortable and durable socks, perfect for everyday wear.",https://images.unsplash.com/photo-1585499583264-491df5142e83?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTb2Nrc3xlbnwwfHx8fDE3Mzc3ODUwNTJ8MA&ixlib=rb-4.0.3&q=85,23,Fabric feels cheap and uncomfortable.,Clothing
Underwear,15.0,4.0,Comfortable and breathable underwear.,https://images.unsplash.com/photo-1568441556126-f36ae0900180?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxVbmRlcndlYXJ8ZW58MHx8fHwxNzM3Nzg1MDUyfDA&ixlib=rb-4.0.3&q=85,38,Fits perfectly and looks great.,Clothing
Swimsuit,50.0,4.2,"Stylish and comfortable swimsuit, perfect for the beach or pool.",https://images.unsplash.com/photo-1575535135032-0045eaea7d62?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTd2ltc3VpdHxlbnwwfHx8fDE3Mzc3ODUwNTN8MA&ixlib=rb-4.0.3&q=85,18,"Stylish and practical, I love it!",Clothing
Skirt,40.0,4.3,"Stylish skirt, perfect for any occasion.",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTa2lydHxlbnwwfHx8fDE3Mzc3ODUwNTN8MA&ixlib=rb-4.0.3&q=85,23,Fabric feels cheap and uncomfortable.,Clothing
Blazer,80.0,3.8,"Stylish blazer, perfect for formal occasions.",https://images.unsplash.com/photo-1617137984095-74e4e5e3613f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCbGF6ZXJ8ZW58MHx8fHwxNzM3Nzg1MDUzfDA&ixlib=rb-4.0.3&q=85,33,Fabric feels cheap and uncomfortable.,Clothing
Boots,90.0,4.4,"Warm and stylish boots, perfect for winter.",https://images.unsplash.com/photo-1520639888713-7851133b1ed0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCb290c3xlbnwwfHx8fDE3Mzc3ODUwNTR8MA&ixlib=rb-4.0.3&q=85,40,Fits perfectly and looks great.,Clothing
Sleepwear,25.0,4.1,"Comfortable and soft sleepwear, perfect for a good night's sleep.",https://images.unsplash.com/photo-1534957695859-1a634d9ca58a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTbGVlcHdlYXJ8ZW58MHx8fHwxNzM3Nzg1MDU0fDA&ixlib=rb-4.0.3&q=85,18,Amazing value for money!,Clothing
Sofa Bed,200.0,4.2,"A comfortable sofa that converts into a double bed, ideal for small spaces.",https://images.unsplash.com/photo-1615800001964-5afd0ae8e49a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTb2ZhJTIwQmVkfGVufDB8fHx8MTczNzc4NTA1NXww&ixlib=rb-4.0.3&q=85,34,"Sturdy and elegant, a great addition to my home.",Furniture
Armchair,135.0,4.5,A plush armchair perfect for relaxing with a book.,https://images.unsplash.com/photo-1601366533287-5ee4c763ae4e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxBcm1jaGFpcnxlbnwwfHx8fDE3Mzc3ODUwNTV8MA&ixlib=rb-4.0.3&q=85,58,"Poor quality wood, broke within weeks.",Furniture
Dining Table,240.0,4.0,A classic dining table suitable for 6-8 people.,https://images.unsplash.com/photo-1604578762246-41134e37f9cc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEaW5pbmclMjBUYWJsZXxlbnwwfHx8fDE3Mzc3ODUwNTZ8MA&ixlib=rb-4.0.3&q=85,35,"Poor quality wood, broke within weeks.",Furniture
Coffee Table,210.0,4.3,A stylish coffee table for your living room.,https://images.unsplash.com/photo-1619911013257-8f1fbc919fc9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxDb2ZmZWUlMjBUYWJsZXxlbnwwfHx8fDE3Mzc3ODUwNTZ8MA&ixlib=rb-4.0.3&q=85,39,"Not worth the price, very flimsy.",Furniture
Queen Bed Frame,300.0,4.1,A sturdy queen-size bed frame.,https://images.unsplash.com/flagged/photo-1551373916-bdaddbf4f881?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxRdWVlbiUyMEJlZCUyMEZyYW1lfGVufDB8fHx8MTczNzc4NTA1N3ww&ixlib=rb-4.0.3&q=85,29,"Compact yet spacious, perfect for my space.",Furniture
Nightstand,350.0,4.4,A small nightstand with drawers for storage.,https://images.unsplash.com/photo-1592159714772-b44f85216622?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxOaWdodHN0YW5kfGVufDB8fHx8MTczNzc4NTA1N3ww&ixlib=rb-4.0.3&q=85,59,"Not worth the price, very flimsy.",Furniture
Dresser,410.0,4.0,A six-drawer dresser for ample clothing storage.,https://images.unsplash.com/photo-1616810559347-257669714c79?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEcmVzc2VyfGVufDB8fHx8MTczNzc4NTA1N3ww&ixlib=rb-4.0.3&q=85,45,"Sturdy and elegant, a great addition to my home.",Furniture
Bookshelf,175.0,4.2,A tall bookshelf for organizing books and decorative items.,https://images.unsplash.com/photo-1593430980369-68efc5a5eb34?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCb29rc2hlbGZ8ZW58MHx8fHwxNzM3Nzg1MDU4fDA&ixlib=rb-4.0.3&q=85,33,"Compact yet spacious, perfect for my space.",Furniture
Desk,125.0,4.1,A functional desk for home office use.,https://images.unsplash.com/photo-1518655048521-f130df041f66?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEZXNrfGVufDB8fHx8MTczNzc4NTA1OHww&ixlib=rb-4.0.3&q=85,35,"Compact yet spacious, perfect for my space.",Furniture
Office Chair,165.0,3.8,An ergonomic office chair for comfortable seating.,https://images.unsplash.com/photo-1572521165329-b197f9ea3da6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxPZmZpY2UlMjBDaGFpcnxlbnwwfHx8fDE3Mzc3ODUwNTl8MA&ixlib=rb-4.0.3&q=85,39,"Affordable and stylish, looks high-end.",Furniture
Dining Chairs (set of 4),650.0,4.3,A set of four comfortable dining chairs.,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEaW5pbmclMjBDaGFpcnMlMjAlMjhzZXQlMjBvZiUyMDQlMjl8ZW58MHx8fHwxNzM3Nzg1MDU5fDA&ixlib=rb-4.0.3&q=85,53,"Poor quality wood, broke within weeks.",Furniture
TV Stand,380.0,4.0,A media console to house your entertainment system.,https://images.unsplash.com/photo-1567690187548-f07b1d7bf5a9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxUViUyMFN0YW5kfGVufDB8fHx8MTczNzc4NTA2MHww&ixlib=rb-4.0.3&q=85,53,The assembly instructions were unclear and frustrating.,Furniture
Headboard,140.0,4.4,A stylish headboard for your bed.,https://images.unsplash.com/photo-1580948516270-b914bd6bccf3?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxIZWFkYm9hcmR8ZW58MHx8fHwxNzM3Nzg1MDYwfDA&ixlib=rb-4.0.3&q=85,48,The assembly instructions were unclear and frustrating.,Furniture
Bar Stool (set of 2),230.0,4.2,A set of two bar stools for your kitchen island.,https://images.unsplash.com/photo-1523567830207-96731740fa71?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCYXIlMjBTdG9vbCUyMCUyOHNldCUyMG9mJTIwMiUyOXxlbnwwfHx8fDE3Mzc3ODUwNjJ8MA&ixlib=rb-4.0.3&q=85,25,"Compact yet spacious, perfect for my space.",Furniture
Ottoman,110.0,4.5,A comfortable footrest for your living room.,https://images.unsplash.com/photo-1603027862808-3661a3fb6923?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxPdHRvbWFufGVufDB8fHx8MTczNzc4NTA2Mnww&ixlib=rb-4.0.3&q=85,39,"Compact yet spacious, perfect for my space.",Furniture
Sectional Sofa,160.0,4.1,A large sectional sofa perfect for entertaining.,https://images.unsplash.com/photo-1529943892821-2f04b070cd2f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTZWN0aW9uYWwlMjBTb2ZhfGVufDB8fHx8MTczNzc4NTA2M3ww&ixlib=rb-4.0.3&q=85,48,"Compact yet spacious, perfect for my space.",Furniture
Storage Bench,125.0,4.3,A bench with hidden storage for blankets and other items.,https://images.unsplash.com/photo-1681276159290-29989388a728?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTdG9yYWdlJTIwQmVuY2h8ZW58MHx8fHwxNzM3Nzg1MDYzfDA&ixlib=rb-4.0.3&q=85,57,"Not worth the price, very flimsy.",Furniture
Vanity Table,310.0,4.0,A vanity table with a mirror and drawers for makeup and accessories.,https://images.unsplash.com/photo-1686109831633-d35231b5c623?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxWYW5pdHklMjBUYWJsZXxlbnwwfHx8fDE3Mzc3ODUwNjR8MA&ixlib=rb-4.0.3&q=85,40,"Compact yet spacious, perfect for my space.",Furniture
Wall Shelf,220.0,4.4,A floating wall shelf for decorative items or books.,https://images.unsplash.com/photo-1615884241431-d07c87e30ab2?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxXYWxsJTIwU2hlbGZ8ZW58MHx8fHwxNzM3Nzg1MDY0fDA&ixlib=rb-4.0.3&q=85,25,"Poor quality wood, broke within weeks.",Furniture
Outdoor Patio Set (Table & 2 Chairs),175.0,3.9,A durable patio set suitable for outdoor use.,https://images.unsplash.com/photo-1495548054858-0e78bb72869e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxPdXRkb29yJTIwUGF0aW8lMjBTZXQlMjAlMjhUYWJsZSUyMHxlbnwwfHx8fDE3Mzc3ODUwNjV8MA&ixlib=rb-4.0.3&q=85,57,The assembly instructions were unclear and frustrating.,Furniture
Teddy Bear,15.0,4.5,"Soft, cuddly teddy bear with brown fur and a red ribbon.",https://images.unsplash.com/photo-1588090644556-14707d0e886a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxUZWRkeSUyMEJlYXJ8ZW58MHx8fHwxNzM3Nzg1MDY2fDA&ixlib=rb-4.0.3&q=85,9,"Broke within a day of use, terrible quality.",Toys
Building Blocks,25.0,4.0,Colorful plastic blocks for creative construction.,https://images.unsplash.com/photo-1539477192933-1a7dde04aa77?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCdWlsZGluZyUyMEJsb2Nrc3xlbnwwfHx8fDE3Mzc3ODUwNjZ8MA&ixlib=rb-4.0.3&q=85,12,"Safe and non-toxic, perfect for my toddler.",Toys
Dollhouse,50.0,4.8,Wooden dollhouse with multiple rooms and accessories.,https://images.unsplash.com/photo-1608701570436-30a168ecb4b6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEb2xsaG91c2V8ZW58MHx8fHwxNzM3Nzg1MDY3fDA&ixlib=rb-4.0.3&q=85,3,"Not as described, missing several parts.",Toys
Remote Control Car,30.0,4.2,High-speed remote control car with realistic features.,https://images.unsplash.com/photo-1613404196612-e058bb5aa01a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxSZW1vdGUlMjBDb250cm9sJTIwQ2FyfGVufDB8fHx8MTczNzc4NTA2N3ww&ixlib=rb-4.0.3&q=85,7,"Broke within a day of use, terrible quality.",Toys
Puzzle (1000 pieces),20.0,4.0,Challenging jigsaw puzzle with a scenic landscape.,https://images.unsplash.com/photo-1605902394069-ff2ae2430e62?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxQdXp6bGUlMjAlMjgxMDAwJTIwcGllY2VzJTI5fGVufDB8fHx8MTczNzc4NTA2OHww&ixlib=rb-4.0.3&q=85,8,"Broke within a day of use, terrible quality.",Toys
Play-Doh Set,12.0,4.6,Modeling clay set with various tools and colors.,https://images.unsplash.com/photo-1484820540004-14229fe36ca4?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxQbGF5LURvaCUyMFNldHxlbnwwfHx8fDE3Mzc3ODUwNjh8MA&ixlib=rb-4.0.3&q=85,7,Keeps the kids entertained for hours.,Toys
Board Game (Monopoly),22.0,4.3,Classic board game of property trading and wealth building.,https://images.unsplash.com/photo-1502920514313-52581002a659?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCb2FyZCUyMEdhbWUlMjAlMjhNb25vcG9seSUyOXxlbnwwfHx8fDE3Mzc3ODUwNjh8MA&ixlib=rb-4.0.3&q=85,10,Pieces are too small and pose a choking hazard.,Toys
Action Figure (Superhero),18.0,4.7,Highly detailed action figure of a popular superhero.,https://images.unsplash.com/photo-1608889825103-eb5ed706fc64?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxBY3Rpb24lMjBGaWd1cmUlMjAlMjhTdXBlcmhlcm8lMjl8ZW58MHx8fHwxNzM3Nzg1MDcwfDA&ixlib=rb-4.0.3&q=85,12,"Broke within a day of use, terrible quality.",Toys
Toy Train Set,40.0,4.5,Electric train set with tracks and carriages.,https://images.unsplash.com/photo-1453053507108-9f5456eb481f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxUb3klMjBUcmFpbiUyMFNldHxlbnwwfHx8fDE3Mzc3ODUwNzB8MA&ixlib=rb-4.0.3&q=85,4,"Broke within a day of use, terrible quality.",Toys
Stuffed Animal (Lion),10.0,4.4,Soft and cuddly stuffed lion toy.,https://images.unsplash.com/photo-1497206365907-f5e630693df0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTdHVmZmVkJTIwQW5pbWFsJTIwJTI4TGlvbiUyOXxlbnwwfHx8fDE3Mzc3ODUwNzF8MA&ixlib=rb-4.0.3&q=85,8,"Not as described, missing several parts.",Toys
Baby Rattle,8.0,4.2,Colorful rattle for infants.,https://images.unsplash.com/photo-1609811645795-f72ea07f47e9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCYWJ5JTIwUmF0dGxlfGVufDB8fHx8MTczNzc4NTIzNHww&ixlib=rb-4.0.3&q=85,6,Pieces are too small and pose a choking hazard.,Toys
Building Blocks (Magnetic),28.0,4.7,Magnetic building blocks for easy construction.,https://images.unsplash.com/photo-1508062878650-88b52897f298?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCdWlsZGluZyUyMEJsb2NrcyUyMCUyOE1hZ25ldGljJTI5fGVufDB8fHx8MTczNzc4NTIzNXww&ixlib=rb-4.0.3&q=85,8,"Broke within a day of use, terrible quality.",Toys
Toy Kitchen Set,35.0,4.5,Play kitchen with various accessories.,https://images.unsplash.com/photo-1507089947368-19c1da9775ae?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxUb3klMjBLaXRjaGVuJTIwU2V0fGVufDB8fHx8MTczNzc4NTIzN3ww&ixlib=rb-4.0.3&q=85,3,"Safe and non-toxic, perfect for my toddler.",Toys
Remote Control Helicopter,45.0,4.1,Remote control helicopter for indoor and outdoor use.,https://images.unsplash.com/photo-1630428312167-4693ac0189fe?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxSZW1vdGUlMjBDb250cm9sJTIwSGVsaWNvcHRlcnxlbnwwfHx8fDE3Mzc3ODUyMzd8MA&ixlib=rb-4.0.3&q=85,8,"Not as described, missing several parts.",Toys
Art Supplies Set,15.0,4.6,"Crayons, markers, paints, and paper for creative expression.",https://images.unsplash.com/photo-1516629217888-85b89292291e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxBcnQlMjBTdXBwbGllcyUyMFNldHxlbnwwfHx8fDE3Mzc3ODUyMzl8MA&ixlib=rb-4.0.3&q=85,5,"Broke within a day of use, terrible quality.",Toys
Toy Tool Set,20.0,4.3,Plastic toy tools for pretend play.,https://images.unsplash.com/photo-1581619897692-ebbf1c3883ae?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxUb3klMjBUb29sJTIwU2V0fGVufDB8fHx8MTczNzc4NTIzOXww&ixlib=rb-4.0.3&q=85,3,Keeps the kids entertained for hours.,Toys
Musical Instrument (Toy Guitar),18.0,4.4,Toy guitar with strings and working frets.,https://images.unsplash.com/photo-1501141002455-d3a3e8ee9dfe?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxNdXNpY2FsJTIwSW5zdHJ1bWVudCUyMCUyOFRveSUyMEd1aXRhciUyOXxlbnwwfHx8fDE3Mzc3ODUyNDB8MA&ixlib=rb-4.0.3&q=85,7,"Broke within a day of use, terrible quality.",Toys
Science Kit (Volcano),25.0,4.1,Science kit for creating a model volcano.,https://images.unsplash.com/photo-1486825586573-7131f7991bdd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTY2llbmNlJTIwS2l0JTIwJTI4Vm9sY2FubyUyOXxlbnwwfHx8fDE3Mzc3ODUyNDB8MA&ixlib=rb-4.0.3&q=85,6,Pieces are too small and pose a choking hazard.,Toys
