name,price,rating,description,image,age,review,category
Soft Blocks,18.0,4.8,"Soft, fabric-covered blocks for infants and toddlers.",https://images.unsplash.com/photo-1695724112297-3665b4d6531f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTb2Z0JTIwQmxvY2tzfGVufDB8fHx8MTczNzc4NTI0MXww&ixlib=rb-4.0.3&q=85,5,"Safe and non-toxic, perfect for my toddler.",Toys
Building Blocks (Mega Set),75.0,4.9,Large set of building blocks with many pieces and accessories.,https://images.unsplash.com/photo-1508062878650-88b52897f298?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCdWlsZGluZyUyMEJsb2NrcyUyMCUyOE1lZ2ElMjBTZXQlMjl8ZW58MHx8fHwxNzM3Nzg1MjQxfDA&ixlib=rb-4.0.3&q=85,5,Pieces are too small and pose a choking hazard.,Toys
Smartphone X Pro Max,1200.0,4.5,High-end smartphone with advanced camera system and powerful processor.,https://images.unsplash.com/photo-1596742578443-7682ef5251cd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydHBob25lJTIwWCUyMFBybyUyME1heHxlbnwwfHx8fDE3Mzc3ODUyNDJ8MA&ixlib=rb-4.0.3&q=85,36,The sound quality is crisp and clear.,Consumer electronics
Wireless Noise-Cancelling Headphones,300.0,4.2,Premium headphones with excellent noise cancellation and long battery life.,https://images.unsplash.com/photo-1607294846590-fd005d7973e8?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyME5vaXNlLUNhbmNlbGxpbmclMjBIZWFkcGhvbmVzfGVufDB8fHx8MTczNzc4NTI0M3ww&ixlib=rb-4.0.3&q=85,27,"Battery life is exceptional, lasts all day.",Consumer electronics
"Smart TV 65""",1000.0,4.0,Large screen smart TV with 4K resolution and HDR support.,https://images.unsplash.com/photo-1593784991095-a205069470b6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydCUyMFRWJTIwNjUlMjJ8ZW58MHx8fHwxNzM3Nzg1MjQzfDA&ixlib=rb-4.0.3&q=85,18,"Too complicated to set up, not worth it.",Consumer electronics
"Laptop 15.6""",800.0,4.1,Mid-range laptop suitable for everyday tasks and light gaming.,https://images.unsplash.com/photo-1484788984921-03950022c9ef?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxMYXB0b3AlMjAxNS42JTIyfGVufDB8fHx8MTczNzc4NTI0NHww&ixlib=rb-4.0.3&q=85,22,"Overheats constantly, unsafe to use.",Consumer electronics
"Tablet 10.1""",300.0,4.3,Versatile tablet for media consumption and light productivity.,https://images.unsplash.com/photo-1464380573004-8ca85a08751a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxUYWJsZXQlMjAxMC4xJTIyfGVufDB8fHx8MTczNzc4NTI0NHww&ixlib=rb-4.0.3&q=85,33,"Too complicated to set up, not worth it.",Consumer electronics
Smartwatch,250.0,4.0,Smartwatch with fitness tracking and notification capabilities.,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydHdhdGNofGVufDB8fHx8MTczNzc4NTI0NXww&ixlib=rb-4.0.3&q=85,37,"Too complicated to set up, not worth it.",Consumer electronics
Bluetooth Speaker,100.0,4.4,Portable Bluetooth speaker with good sound quality.,https://images.unsplash.com/photo-1589256469067-ea99122bbdc4?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCbHVldG9vdGglMjBTcGVha2VyfGVufDB8fHx8MTczNzc4NTI0NXww&ixlib=rb-4.0.3&q=85,31,User-friendly and reliable.,Consumer electronics
Wireless Mouse,40.0,4.0,Ergonomic wireless mouse for comfortable use.,https://images.unsplash.com/photo-1660491083562-d91a64d6ea9c?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyME1vdXNlfGVufDB8fHx8MTczNzc4NTI0Nnww&ixlib=rb-4.0.3&q=85,21,User-friendly and reliable.,Consumer electronics
Gaming Console,500.0,4.6,Powerful gaming console with a wide selection of games.,https://images.unsplash.com/photo-1593118247619-e2d6f056869e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxHYW1pbmclMjBDb25zb2xlfGVufDB8fHx8MTczNzc4NTI0Nnww&ixlib=rb-4.0.3&q=85,30,"Stopped working after just a week, very disappointing.",Consumer electronics
Digital Camera,600.0,4.3,High-quality digital camera with excellent image quality.,https://images.unsplash.com/photo-1581591524425-c7e0978865fc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxEaWdpdGFsJTIwQ2FtZXJhfGVufDB8fHx8MTczNzc4NTI0N3ww&ixlib=rb-4.0.3&q=85,20,"Too complicated to set up, not worth it.",Consumer electronics
E-reader,150.0,4.2,Lightweight e-reader with a large library of ebooks.,https://images.unsplash.com/photo-1534258770914-022a9ce4e0ed?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxFLXJlYWRlcnxlbnwwfHx8fDE3Mzc3ODUyNDd8MA&ixlib=rb-4.0.3&q=85,31,"Battery life is exceptional, lasts all day.",Consumer electronics
Smart Home Hub,150.0,3.8,Central hub for controlling smart home devices.,https://images.unsplash.com/photo-1522444195799-478538b28823?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydCUyMEhvbWUlMjBIdWJ8ZW58MHx8fHwxNzM3Nzg1MjQ4fDA&ixlib=rb-4.0.3&q=85,19,"Overheats constantly, unsafe to use.",Consumer electronics
External Hard Drive 1TB,75.0,4.1,Portable external hard drive for extra storage space.,https://images.unsplash.com/photo-1721675694187-8d03b127cb78?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxFeHRlcm5hbCUyMEhhcmQlMjBEcml2ZSUyMDFUQnxlbnwwfHx8fDE3Mzc3ODUyNDh8MA&ixlib=rb-4.0.3&q=85,35,"Too complicated to set up, not worth it.",Consumer electronics
Noise-Cancelling Earbuds,200.0,4.5,Wireless earbuds with excellent noise cancellation.,https://images.unsplash.com/photo-1590658165737-15a047b7c0b0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxOb2lzZS1DYW5jZWxsaW5nJTIwRWFyYnVkc3xlbnwwfHx8fDE3Mzc3ODUyNDl8MA&ixlib=rb-4.0.3&q=85,40,"Stopped working after just a week, very disappointing.",Consumer electronics
4K Action Camera,400.0,4.2,Compact action camera capable of recording 4K video.,https://images.unsplash.com/photo-1637838880859-4d57bbff0249?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHw0SyUyMEFjdGlvbiUyMENhbWVyYXxlbnwwfHx8fDE3Mzc3ODUyNDl8MA&ixlib=rb-4.0.3&q=85,33,The sound quality is crisp and clear.,Consumer electronics
Power Bank,30.0,4.0,Portable power bank for charging devices on the go.,https://images.unsplash.com/photo-1594843665794-446ce915d840?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxQb3dlciUyMEJhbmt8ZW58MHx8fHwxNzM3Nzg1MjUxfDA&ixlib=rb-4.0.3&q=85,30,"Too complicated to set up, not worth it.",Consumer electronics
VR Headset,350.0,4.0,Virtual reality headset for immersive gaming and experiences.,https://images.unsplash.com/photo-1622979135225-d2ba269cf1ac?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxWUiUyMEhlYWRzZXR8ZW58MHx8fHwxNzM3Nzg1MjUxfDA&ixlib=rb-4.0.3&q=85,21,"Stopped working after just a week, very disappointing.",Consumer electronics
Smart Lighting System,100.0,3.9,Smart lighting system for controlling lights remotely.,https://images.unsplash.com/photo-1541190349433-a490ea73206a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydCUyMExpZ2h0aW5nJTIwU3lzdGVtfGVufDB8fHx8MTczNzc4NTI1Mnww&ixlib=rb-4.0.3&q=85,39,"Too complicated to set up, not worth it.",Consumer electronics
Wireless Keyboard,50.0,3.7,Wireless keyboard for comfortable typing.,https://images.unsplash.com/photo-1598428452014-264f8ff1b174?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyMEtleWJvYXJkfGVufDB8fHx8MTczNzc4NTI1M3ww&ixlib=rb-4.0.3&q=85,29,"Stopped working after just a week, very disappointing.",Consumer electronics
Streaming Device,50.0,4.3,Streaming device for accessing various streaming services.,https://images.unsplash.com/photo-1635414819675-a6a3388f4df8?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTdHJlYW1pbmclMjBEZXZpY2V8ZW58MHx8fHwxNzM3Nzg1MjU0fDA&ixlib=rb-4.0.3&q=85,36,"Too complicated to set up, not worth it.",Consumer electronics
Laptop,800.0,4.5,A powerful and portable laptop for everyday use.,https://images.unsplash.com/photo-1649972904349-6e44c42644a7?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MXwxfHNlYXJjaHwxfHxMYXB0b3B8ZW58MHx8fHwxNzM3Nzg1MjU1fDA&ixlib=rb-4.0.3&q=85,43,Perfect for gaming and productivity!,Electronics
Smartphone,1000.0,4.2,High-end smartphone with advanced features and camera.,https://images.unsplash.com/photo-1592890288564-76628a30a657?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydHBob25lfGVufDB8fHx8MTczNzc4NTI1NXww&ixlib=rb-4.0.3&q=85,30,Build quality is solid and durable.,Electronics
Tablet,300.0,4.0,Versatile tablet for media consumption and light productivity.,https://images.unsplash.com/photo-1648737966636-2fc3a5fffc8a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MXwxfHNlYXJjaHwxfHxUYWJsZXR8ZW58MHx8fHwxNzM3Nzg1MjU2fDA&ixlib=rb-4.0.3&q=85,21,Great performance and easy to use.,Electronics
Smartwatch,250.0,4.3,Fitness tracker and smart notification device.,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydHdhdGNofGVufDB8fHx8MTczNzc4NTI0NXww&ixlib=rb-4.0.3&q=85,22,Great performance and easy to use.,Electronics
Wireless Headphones,150.0,4.6,Noise-cancelling headphones for immersive audio.,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyMEhlYWRwaG9uZXN8ZW58MHx8fHwxNzM3Nzg1MjU2fDA&ixlib=rb-4.0.3&q=85,39,"Keeps crashing, very unreliable.",Electronics
Smart TV,600.0,4.1,Large screen smart TV with streaming capabilities.,https://images.unsplash.com/photo-1560169897-fc0cdbdfa4d5?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydCUyMFRWfGVufDB8fHx8MTczNzc4NTI1Nnww&ixlib=rb-4.0.3&q=85,32,Perfect for gaming and productivity!,Electronics
Bluetooth Speaker,50.0,4.4,Compact and portable Bluetooth speaker for music playback.,https://images.unsplash.com/photo-1589256469067-ea99122bbdc4?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCbHVldG9vdGglMjBTcGVha2VyfGVufDB8fHx8MTczNzc4NTI0NXww&ixlib=rb-4.0.3&q=85,49,Build quality is solid and durable.,Electronics
Gaming Console,500.0,4.7,Powerful gaming console with a vast library of games.,https://images.unsplash.com/photo-1593118247619-e2d6f056869e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxHYW1pbmclMjBDb25zb2xlfGVufDB8fHx8MTczNzc4NTI0Nnww&ixlib=rb-4.0.3&q=85,31,"Feels cheaply made, not durable at all.",Electronics
Power Bank,30.0,4.0,Portable charger for your mobile devices.,https://images.unsplash.com/photo-1594843665794-446ce915d840?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxQb3dlciUyMEJhbmt8ZW58MHx8fHwxNzM3Nzg1MjUxfDA&ixlib=rb-4.0.3&q=85,37,"Feels cheaply made, not durable at all.",Electronics
Wireless Mouse,30.0,4.2,Ergonomic wireless mouse for comfortable computing.,https://images.unsplash.com/photo-1660491083562-d91a64d6ea9c?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyME1vdXNlfGVufDB8fHx8MTczNzc4NTI0Nnww&ixlib=rb-4.0.3&q=85,41,"Feels cheaply made, not durable at all.",Electronics
External Hard Drive,100.0,3.9,Large capacity external hard drive for data storage.,https://images.unsplash.com/photo-1613070541337-b40942ee6527?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxFeHRlcm5hbCUyMEhhcmQlMjBEcml2ZXxlbnwwfHx8fDE3Mzc3ODUyNTd8MA&ixlib=rb-4.0.3&q=85,29,Perfect for gaming and productivity!,Electronics
Router,80.0,3.8,High-speed Wi-Fi router for your home network.,https://images.unsplash.com/photo-1516044734145-07ca8eef8731?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxSb3V0ZXJ8ZW58MHx8fHwxNzM3Nzg1MjU5fDA&ixlib=rb-4.0.3&q=85,48,"Screen quality is terrible, hurts the eyes.",Electronics
Digital Camera,400.0,4.5,High-resolution digital camera for capturing photos and videos.,https://images.unsplash.com/photo-1581591524425-c7e0978865fc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxEaWdpdGFsJTIwQ2FtZXJhfGVufDB8fHx8MTczNzc4NTI0N3ww&ixlib=rb-4.0.3&q=85,23,Perfect for gaming and productivity!,Electronics
E-reader,150.0,4.3,Lightweight e-reader for comfortable reading experience.,https://images.unsplash.com/photo-1534258770914-022a9ce4e0ed?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxFLXJlYWRlcnxlbnwwfHx8fDE3Mzc3ODUyNDd8MA&ixlib=rb-4.0.3&q=85,43,"Screen quality is terrible, hurts the eyes.",Electronics
Smart Light Bulb,20.0,4.1,Smart light bulb with color changing capabilities.,https://images.unsplash.com/photo-1606812667169-0e1991ed3742?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTbWFydCUyMExpZ2h0JTIwQnVsYnxlbnwwfHx8fDE3Mzc3ODUyNjB8MA&ixlib=rb-4.0.3&q=85,22,Perfect for gaming and productivity!,Electronics
Wireless Keyboard,40.0,4.0,Comfortable wireless keyboard for effortless typing.,https://images.unsplash.com/photo-1598428452014-264f8ff1b174?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXaXJlbGVzcyUyMEtleWJvYXJkfGVufDB8fHx8MTczNzc4NTI1M3ww&ixlib=rb-4.0.3&q=85,23,Perfect for gaming and productivity!,Electronics
Webcam,50.0,4.2,High-definition webcam for video conferencing.,https://images.unsplash.com/photo-1623949556303-b0d17d198863?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxXZWJjYW18ZW58MHx8fHwxNzM3Nzg1MjYxfDA&ixlib=rb-4.0.3&q=85,41,"Screen quality is terrible, hurts the eyes.",Electronics
Soundbar,200.0,4.4,Immersive soundbar to enhance your TV audio.,https://images.unsplash.com/photo-1604914415990-e679adec5b60?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTb3VuZGJhcnxlbnwwfHx8fDE3Mzc3ODUyNjF8MA&ixlib=rb-4.0.3&q=85,31,"Screen quality is terrible, hurts the eyes.",Electronics
VR Headset,400.0,4.0,Virtual reality headset for gaming and immersive experiences.,https://images.unsplash.com/photo-1622979135225-d2ba269cf1ac?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxWUiUyMEhlYWRzZXR8ZW58MHx8fHwxNzM3Nzg1MjUxfDA&ixlib=rb-4.0.3&q=85,47,Perfect for gaming and productivity!,Electronics
Drone,500.0,4.2,Aerial photography drone with high-quality camera.,https://images.unsplash.com/photo-1473968512647-3e447244af8f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxEcm9uZXxlbnwwfHx8fDE3Mzc3ODUyNjJ8MA&ixlib=rb-4.0.3&q=85,28,Great performance and easy to use.,Electronics
Apple,0.5,4.5,"Crisp, red apple.  Sweet and juicy.",https://images.unsplash.com/photo-1570913149827-d2ac84ab3f9a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxBcHBsZXxlbnwwfHx8fDE3Mzc3ODUyNjJ8MA&ixlib=rb-4.0.3&q=85,58,Portion size is way too small for the price.,Food
Banana,0.75,4.2,Ripe yellow banana.  Slightly sweet.,https://images.unsplash.com/photo-1528825871115-3581a5387919?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxCYW5hbmF8ZW58MHx8fHwxNzM3Nzg1MjYzfDA&ixlib=rb-4.0.3&q=85,59,"Healthy and flavorful, perfect for my diet.",Food
Orange,1.0,4.0,"Juicy orange, high in Vitamin C.",https://images.unsplash.com/photo-1580052614034-c55d20bfee3b?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxPcmFuZ2V8ZW58MHx8fHwxNzM3Nzg1MjYzfDA&ixlib=rb-4.0.3&q=85,25,"Healthy and flavorful, perfect for my diet.",Food
Pizza Slice,3.0,4.8,"Cheese pizza slice, classic taste.",https://images.unsplash.com/photo-1520201163981-8cc95007dd2a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxQaXp6YSUyMFNsaWNlfGVufDB8fHx8MTczNzc4NTI2NHww&ixlib=rb-4.0.3&q=85,22,"Fresh and delicious, exceeded my expectations.",Food
Hamburger,5.0,4.5,"Beef patty, cheese, lettuce, tomato on a bun.",https://images.unsplash.com/photo-1568901346375-23c9450c58cd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxIYW1idXJnZXJ8ZW58MHx8fHwxNzM3Nzg1MjY0fDA&ixlib=rb-4.0.3&q=85,52,"Healthy and flavorful, perfect for my diet.",Food
Cheeseburger,6.0,4.7,"Beef patty, double cheese, lettuce, tomato on a bun.",https://images.unsplash.com/photo-1572802419224-296b0aeee0d9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxDaGVlc2VidXJnZXJ8ZW58MHx8fHwxNzM3Nzg1MjY3fDA&ixlib=rb-4.0.3&q=85,33,Portion size is way too small for the price.,Food
French Fries,2.5,4.0,"Crispy, salty french fries.",https://images.unsplash.com/photo-1606755456206-b25206cde27e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxGcmVuY2glMjBGcmllc3xlbnwwfHx8fDE3Mzc3ODUyNjd8MA&ixlib=rb-4.0.3&q=85,49,Tasted stale and was poorly packaged.,Food
Salad,7.0,4.3,"Mixed greens, vegetables, and your choice of dressing.",https://images.unsplash.com/photo-1512621776951-a57141f2eefd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxTYWxhZHxlbnwwfHx8fDE3Mzc3ODUyNjd8MA&ixlib=rb-4.0.3&q=85,44,"Convenient packaging, great for storage.",Food
Chicken Breast,4.0,4.6,"Grilled chicken breast, lean protein.",https://images.unsplash.com/photo-1627858034922-72a657d6b3c2?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MTV8MHwxfHNlYXJjaHwxfHxDaGlja2VuJTIwQnJlYXN0fGVufDB8fHx8MTczNzc4NTI2OHww&ixlib=rb-4.0.3&q=85,31,Tasted stale and was poorly packaged.,Food
Pasta,8.0,4.4,Spaghetti with marinara sauce.,https://images.unsplash.com/photo-1556761223-4c4282c73f77?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxQYXN0YXxlbnwwfHx8fDE3Mzc3ODUzMzd8MA&ixlib=rb-4.0.3&q=85,55,Portion size is way too small for the price.,Food
Chocolate Bar,1.5,4.7,"Milk chocolate bar, rich and creamy.",https://images.unsplash.com/photo-1623660053975-cf75a8be0908?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxDaG9jb2xhdGUlMjBCYXJ8ZW58MHx8fHwxNzM3Nzg1MzM5fDA&ixlib=rb-4.0.3&q=85,52,Portion size is way too small for the price.,Food
Ice Cream,3.5,4.9,"Vanilla ice cream, classic flavor.",https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxJY2UlMjBDcmVhbXxlbnwwfHx8fDE3Mzc3ODUzNDB8MA&ixlib=rb-4.0.3&q=85,54,"Way too salty, couldn't eat it.",Food
Coffee,2.0,4.2,Regular brewed coffee.,https://images.unsplash.com/photo-1556745753-b2904692b3cd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MXwxfHNlYXJjaHwxfHxDb2ZmZWV8ZW58MHx8fHwxNzM3Nzg1MzQwfDA&ixlib=rb-4.0.3&q=85,35,"Fresh and delicious, exceeded my expectations.",Food
Milk,3.0,4.0,1 Gallon of whole milk.,https://images.unsplash.com/photo-1550583724-b2692b85b150?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxNaWxrfGVufDB8fHx8MTczNzc4NTM0MXww&ixlib=rb-4.0.3&q=85,31,Tasted stale and was poorly packaged.,Food
Yogurt,1.75,4.5,"Strawberry yogurt, creamy and fruity.",https://images.unsplash.com/photo-1571212515416-fef01fc43637?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxZb2d1cnR8ZW58MHx8fHwxNzM3Nzg1MzQxfDA&ixlib=rb-4.0.3&q=85,50,"Fresh and delicious, exceeded my expectations.",Food
Bread,2.5,4.3,"Wheat bread, wholesome and tasty.",https://images.unsplash.com/photo-1509440159596-0249088772ff?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCcmVhZHxlbnwwfHx8fDE3Mzc3ODUzNDJ8MA&ixlib=rb-4.0.3&q=85,36,Tasted stale and was poorly packaged.,Food
